id,type,address,neighborhood
DPW1508460,Block Party Permit,"0 REYNOLDS ST, PITTSBURGH, PA, 15206",Point Breeze
DPW1508416,Block Party Permit,"5941 PENN AVE, PITTSBURGH, PA, 15206",East Liberty
DPW1507941,Block Party Permit,"0 HARVARD SQ, PITTSBURGH, PA, 15206",East Liberty
DPW1507699,Block Party Permit,"1615 TERMON AVE, PITTSBURGH, PA, 15212",Brighton Heights
DPW1507617,Block Party Permit,"1110 VOSKAMP ST, PITTSBURGH, PA, 15212",Spring Garden
DPW1507481,Block Party Permit,"369 S GRAHAM ST, PITTSBURGH, PA, 15232",Friendship
DPW1507478,Block Party Permit,"524 DELMONT AVE, PITTSBURGH, PA, 15210",Beltzhoover
DPW1507363,Block Party Permit,"6913 GREENWOOD ST, PITTSBURGH, PA, 15206",Morningside
DPW1507286,Block Party Permit,"936 BEECH AVE, PITTSBURGH, PA, 15233",Allegheny West
DPW1507163,Block Party Permit,"5800 WAYNE RD, PITTSBURGH, PA, 15206",Highland Park
DPW1507117,Block Party Permit,"3233 GORMAN WAY, PITTSBURGH, PA, 15213",South Oakland
DPW1507122,Block Party Permit,"208 S MATHILDA ST, PITTSBURGH, PA, 15224",Bloomfield
DPW1306422,Block Party Permit,"118 RICHEY AVE, PITTSBURGH, PA, 15214",Perry North
DPW1507004,Block Party Permit,"4201 HALDANE ST, PITTSBURGH, PA, 15207",Greenfield
DPW1506951,Block Party Permit,"110 CARNEGIE PL, PITTSBURGH, PA, 15208",Point Breeze
DPW1506939,Block Party Permit,"3542 CAMPUS ST, PITTSBURGH, PA, 15212",Brighton Heights
DPW1506940,Block Party Permit,"0 NATRONA WAY, PITTSBURGH, PA, 15201",Upper Lawrenceville
DPW1506916,Block Party Permit,"3280 ORLEANS ST, PITTSBURGH, PA, 15214",Perry North
DPW1506866,Block Party Permit,"1911 WYLIE AVE, PITTSBURGH, PA, 15219",Crawford-Roberts
DPW1506831,Block Party Permit,"5734 NORTHUMBERLAND ST, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1506788,Block Party Permit,"937 la clair, PITTSBURGH, 15218",Regent Square
DPW1506765,Block Party Permit,"1525 HATTERAS ST, PITTSBURGH, PA, 15212",Troy Hill
DPW1506751,Block Party Permit,"210 CONOVER RD, PITTSBURGH, PA, 15208",Point Breeze
DPW1506696,Block Party Permit,"330 BIGBEE ST, PITTSBURGH, PA, 15211",Mount Washington
DPW1506699,Block Party Permit,"1511 CHELTON AVE, PITTSBURGH, PA, 15226",Brookline
DPW1506661,Block Party Permit,"1200 BOYLE ST, PITTSBURGH, PA, 15212",Central Northside
DPW1506572,Block Party Permit,"6371 BURCHFIELD AVE, PITTSBURGH, PA, 15217",Squirrel Hill South
DPW1506579,Block Party Permit,"6654 KINSMAN RD, PITTSBURGH, PA, 15217",Squirrel Hill North
DPW1506534,Block Party Permit,"415 STRATTON LN, PITTSBURGH, PA, 15206",Shadyside
DPW1506499,Block Party Permit,"1208 FORTUNA, PITTSBURGH, PA",Brookline
DPW1506475,Block Party Permit,"310 SHADY, PITTSBURGH, ALLEGHENY, PA, 15206",Shadyside
DPW1506443,Block Party Permit,"225 BELTZHOOVER, PITTSBURGH, ALLEGHENY, PA, 15210",Allentown
DPW1506453,Block Party Permit,"1337 CORDOVA, PITTSBURGH, ALLEGHENY, PA, 15206",Highland Park
